"","especie","wolbachia","tratamento","data","replica","sobreviventes","DPI","catg"
"182","triauraria","W+","FHV",2022-10-21,"R2",10,2,"triaurariaW+FHVR2"
"183","triauraria","W+","FHV",2022-10-21,"R3",6,2,"triaurariaW+FHVR3"
"184","triauraria","W+","FHV",2022-10-21,"R4",8,2,"triaurariaW+FHVR4"
"185","triauraria","W+","FHV",2022-10-21,"R5",9,2,"triaurariaW+FHVR5"
"186","triauraria","W+","Ringer",2022-10-21,"R1",10,2,"triaurariaW+RingerR1"
"187","triauraria","W+","Ringer",2022-10-21,"R2",5,2,"triaurariaW+RingerR2"
"188","triauraria","W+","Ringer",2022-10-21,"R3",6,2,"triaurariaW+RingerR3"
"189","triauraria","W+","Ringer",2022-10-21,"R4",6,2,"triaurariaW+RingerR4"
"190","triauraria","W+","Ringer",2022-10-21,"R5",8,2,"triaurariaW+RingerR5"
"191","triauraria","W-","FHV",2022-10-21,"R1",11,2,"triaurariaW-FHVR1"
"192","triauraria","W-","FHV",2022-10-21,"R2",6,2,"triaurariaW-FHVR2"
"193","triauraria","W-","FHV",2022-10-21,"R3",11,2,"triaurariaW-FHVR3"
"194","triauraria","W-","FHV",2022-10-21,"R4",11,2,"triaurariaW-FHVR4"
"195","triauraria","W-","FHV",2022-10-21,"R5",12,2,"triaurariaW-FHVR5"
"196","triauraria","W-","Ringer",2022-10-21,"R1",11,2,"triaurariaW-RingerR1"
"197","triauraria","W-","Ringer",2022-10-21,"R2",8,2,"triaurariaW-RingerR2"
"198","triauraria","W-","Ringer",2022-10-21,"R3",10,2,"triaurariaW-RingerR3"
"199","triauraria","W-","Ringer",2022-10-21,"R4",11,2,"triaurariaW-RingerR4"
"200","triauraria","W-","Ringer",2022-10-21,"R5",4,2,"triaurariaW-RingerR5"
"201","bocqueti","W+","FHV",2022-10-22,"R1",11,4,"bocquetiW+FHVR1"
"202","bocqueti","W+","FHV",2022-10-22,"R2",13,4,"bocquetiW+FHVR2"
"203","bocqueti","W+","FHV",2022-10-22,"R3",13,4,"bocquetiW+FHVR3"
"204","bocqueti","W+","FHV",2022-10-22,"R4",11,4,"bocquetiW+FHVR4"
"205","bocqueti","W+","FHV",2022-10-22,"R5",12,4,"bocquetiW+FHVR5"
"206","bocqueti","W+","Ringer",2022-10-22,"R1",11,4,"bocquetiW+RingerR1"
"207","bocqueti","W+","Ringer",2022-10-22,"R2",11,4,"bocquetiW+RingerR2"
"208","bocqueti","W+","Ringer",2022-10-22,"R3",12,4,"bocquetiW+RingerR3"
"209","bocqueti","W+","Ringer",2022-10-22,"R4",10,4,"bocquetiW+RingerR4"
